"ResourceType","TerraformName","MicrosoftProvider","APIVersions","MappingSource","DocumentationPath"
"DataSource","azurerm_cdn_frontdoor_batch_rule_set","Microsoft.Cdn","2025-12-01","GeneratedAPISection","website/docs/d/cdn_frontdoor_batch_rule_set.html.markdown"
"DataSource","azurerm_cdn_frontdoor_custom_domain","Microsoft.Cdn","2025-12-01","GeneratedAPISection","website/docs/d/cdn_frontdoor_custom_domain.html.markdown"
"DataSource","azurerm_cdn_frontdoor_endpoint","Microsoft.Cdn","2025-12-01","GeneratedAPISection","website/docs/d/cdn_frontdoor_endpoint.html.markdown"
"DataSource","azurerm_cdn_frontdoor_firewall_policy","Microsoft.Network","","MatchingResource:ARMImportID","website/docs/d/cdn_frontdoor_firewall_policy.html.markdown"
"DataSource","azurerm_cdn_frontdoor_origin_group","Microsoft.Cdn","2025-12-01","GeneratedAPISection","website/docs/d/cdn_frontdoor_origin_group.html.markdown"
"DataSource","azurerm_cdn_frontdoor_profile","Microsoft.Cdn","2025-12-01","GeneratedAPISection","website/docs/d/cdn_frontdoor_profile.html.markdown"
"DataSource","azurerm_cdn_frontdoor_rule_set","Microsoft.Cdn","2025-12-01","GeneratedAPISection","website/docs/d/cdn_frontdoor_rule_set.html.markdown"
"DataSource","azurerm_cdn_frontdoor_secret","Microsoft.Cdn","2025-12-01","GeneratedAPISection","website/docs/d/cdn_frontdoor_secret.html.markdown"
"DataSource","azurerm_cdn_frontdoor_security_policy","Microsoft.Cdn","2025-12-01","GeneratedAPISection","website/docs/d/cdn_frontdoor_security_policy.html.markdown"
"DataSource","azurerm_cdn_profile","Microsoft.Cdn","","MatchingResource:ARMImportID","website/docs/d/cdn_profile.html.markdown"
"DataSource","azurerm_client_config","","","Unmapped","website/docs/d/client_config.html.markdown"
"DataSource","azurerm_cognitive_account","Microsoft.CognitiveServices","2026-03-01","GeneratedAPISection","website/docs/d/cognitive_account.html.markdown"
"DataSource","azurerm_cognitive_account_project","Microsoft.CognitiveServices","2026-03-01","GeneratedAPISection","website/docs/d/cognitive_account_project.html.markdown"
"DataSource","azurerm_communication_service","Microsoft.Communication","2023-03-31","GeneratedAPISection","website/docs/d/communication_service.html.markdown"
"DataSource","azurerm_confidential_ledger","Microsoft.ConfidentialLedger","2022-05-13","GeneratedAPISection","website/docs/d/confidential_ledger.html.markdown"
"DataSource","azurerm_consumption_budget_resource_group","Microsoft.Consumption","2019-10-01","GeneratedAPISection","website/docs/d/consumption_budget_resource_group.html.markdown"
"DataSource","azurerm_consumption_budget_subscription","Microsoft.Consumption","2019-10-01","GeneratedAPISection","website/docs/d/consumption_budget_subscription.html.markdown"
"DataSource","azurerm_container_app","Microsoft.App","2025-07-01","GeneratedAPISection","website/docs/d/container_app.html.markdown"
"DataSource","azurerm_container_app_environment","Microsoft.App","2025-07-01","GeneratedAPISection","website/docs/d/container_app_environment.html.markdown"
"DataSource","azurerm_container_app_environment","Microsoft.OperationalInsights","2020-08-01","GeneratedAPISection","website/docs/d/container_app_environment.html.markdown"
"DataSource","azurerm_container_app_environment_certificate","Microsoft.App","2025-07-01","GeneratedAPISection","website/docs/d/container_app_environment_certificate.html.markdown"
"DataSource","azurerm_container_app_environment_dapr_component","Microsoft.App","2025-07-01","MatchingResource:GeneratedAPISection","website/docs/d/container_app_environment_dapr_component.html.markdown"
"DataSource","azurerm_container_app_environment_storage","Microsoft.App","2025-07-01","GeneratedAPISection","website/docs/d/container_app_environment_storage.html.markdown"
"DataSource","azurerm_container_group","Microsoft.ContainerInstance","2025-09-01","GeneratedAPISection","website/docs/d/container_group.html.markdown"
"DataSource","azurerm_container_registry","Microsoft.ContainerRegistry","2025-11-01","GeneratedAPISection","website/docs/d/container_registry.html.markdown"
"DataSource","azurerm_container_registry_cache_rule","Microsoft.ContainerRegistry","2023-07-01","GeneratedAPISection","website/docs/d/container_registry_cache_rule.html.markdown"
"DataSource","azurerm_container_registry_scope_map","Microsoft.ContainerRegistry","2025-11-01","GeneratedAPISection","website/docs/d/container_registry_scope_map.html.markdown"
"DataSource","azurerm_container_registry_token","Microsoft.ContainerRegistry","2025-11-01","GeneratedAPISection","website/docs/d/container_registry_token.html.markdown"
"DataSource","azurerm_cosmosdb_account","Microsoft.DocumentDB","2024-08-15","GeneratedAPISection","website/docs/d/cosmosdb_account.html.markdown"
